Title,IMDB Score
Amidst the Devil's Wings ,4.3
Amnesiac ,4.3
Atlas Shrugged: Who Is John Galt? ,4.4
Born of War ,4.4
Da Sweet Blood of Jesus ,4.1
Dawn Patrol ,4.8
Devil's Due ,4.0
Doc Holliday's Revenge ,3.8
Drive Hard ,4.3
"Dude, Where's My Dog?! ",3.2
Dwegons and Leprechauns ,4.8
Dying of the Light ,4.4
Fugly ,4.7
In the Name of the King: The Last Job ,3.3
Jungle Shuffle ,4.8
Left Behind ,3.1
Left Behind ,3.1
Locker 13 ,4.8
Lords of London ,3.1
Mutant World ,2.8
Ouija ,4.4
Out of the Dark ,4.7
Red Sky ,4.1
Something Wicked ,4.8
Swelter ,4.6
Tammy ,4.9
The Face of an Angel ,4.7
The Legend of Hercules ,4.2
The Opposite Sex ,4.5
The Perfect Wave ,4.7
The Prince ,4.6
The Sleepwalker ,4.9
United Passions ,2.0
#Horror ,3.3
90 Minutes in Heaven ,4.6
A Warrior's Tail ,4.1
Accidental Love ,4.0
Adulterers ,4.9
American Hero ,4.9
Animal Kingdom: Let's go Ape ,4.9
Area 51 ,4.2
AWOL-72 ,3.9
Bizarre ,4.3
Bleeding Hearts ,4.2
Chain of Command ,3.5
Checkmate ,3.1
Close Range ,4.9
Containment ,4.8
Dancin' It's On ,2.8
Diamond Ruff ,4.3
Dutch Kills ,4.8
Eden ,4.8
Exeter ,4.6
Fantastic Four ,4.3
Fantastic Four ,4.3
Fifty Shades of Grey ,4.1
Navy Seals vs. Zombies ,3.4
Paul Blart: Mall Cop 2 ,4.4
Queen Crab ,4.5
Rotor DR1 ,3.4
Shark Lake ,3.4
Stonewall ,4.5
Subconscious ,2.2
Teeth and Blood ,4.3
The Boy Next Door ,4.6
The Curse of Downers Grove ,4.5
The Gallows ,4.2
The Lovers ,4.5
The Lovers ,4.5
The Ridiculous 6 ,4.9
The Vatican Tapes ,4.5
The Walking Deceased ,3.4
The Wicked Within ,4.6
Top Cat Begins ,4.4
Unnatural ,4.0
Western Religion ,4.0
Wind Walkers ,3.6
Windsor Drive ,3.2
Cabin Fever ,3.7
Code of Honor ,4.2
Fifty Shades of Black ,3.5
Fight to the Finish ,4.0
God's Not Dead 2 ,3.4
Restoration ,4.0
The Dog Lover ,4.8
The Forest ,4.8
The Masked Saint ,4.7
The Perfect Match ,4.5
The Veil ,4.7
Yoga Hosers ,4.8
Zoolander 2 ,4.8
Meet the Browns             ,3.5
The Bachelor             ,2.9
The Bold and the Beautiful             ,3.5
